Title,Link,Authors,Year,Cited,
PENGGUNAAN LAYANAN BIMBINGAN KELOMPOK UNTUK MENINGKATKAN SIKAP KEPATUHAN TERHADAP TATA TERTIB SEKOLAH,https://scholar.google.com/scholar?q=+intitle:'PENGGUNAAN LAYANAN BIMBINGAN KELOMPOK UNTUK MENINGKATKAN SIKAP KEPATUHAN TERHADAP TATA TERTIB SEKOLAH',"Authors : A Purwanto, Y Yusmansyah, R Rahmayanthi",2014,0 cited,Quality Education (Pendidikan Berkualitas)
Peningkatan Kemampuan Penyesuaian Diri Di Sekolah Menggunakan Layanan Bimbingan Kelompok Dengan Teknik Sosiodrama,https://scholar.google.com/scholar?q=+intitle:'Peningkatan Kemampuan Penyesuaian Diri Di Sekolah Menggunakan Layanan Bimbingan Kelompok Dengan Teknik Sosiodrama',"Authors : T Yolanda, S Dahlan, RR Zulkifli",2014,2 cited,Quality Education (Pendidikan Berkualitas)
Upaya Peningkatan Self-Disclosure Dengan Menggunakan Bimbingan Kelompok Pada Siswa,https://scholar.google.com/scholar?q=+intitle:'Upaya Peningkatan Self-Disclosure Dengan Menggunakan Bimbingan Kelompok Pada Siswa',"Authors : NP Sari, G Giyono, RR Zulkifli",2014,4 cited,Quality Education (Pendidikan Berkualitas)
HUBUNGAN ANTARA PERSEPSI DAN MINAT SISWA DENGAN AKTIVITAS MENGIKUTI LAYANAN BIMBINGAN KONSELING,https://scholar.google.com/scholar?q=+intitle:'HUBUNGAN ANTARA PERSEPSI DAN MINAT SISWA DENGAN AKTIVITAS MENGIKUTI LAYANAN BIMBINGAN KONSELING',"Authors : W Sujatmiko, M Rosra, R Rahmayanthi",2014,0 cited,Quality Education (Pendidikan Berkualitas)
Hubungan konsep diri positif dengan penyesuaian diri mahasiswa FKIP UNILA luar lampung,https://scholar.google.com/scholar?q=+intitle:'Hubungan konsep diri positif dengan penyesuaian diri mahasiswa FKIP UNILA luar lampung',"Authors : AP Astuti, M Rosra, RR Zulkifli",2014,5 cited,Quality Education (Pendidikan Berkualitas)
PENINGKATAN KOMUNIKASI INTERPERSONAL DENGAN TEKNIK ASSERTIVE TRAINING PADA SISWA,https://scholar.google.com/scholar?q=+intitle:'PENINGKATAN KOMUNIKASI INTERPERSONAL DENGAN TEKNIK ASSERTIVE TRAINING PADA SISWA',"Authors : YN Sari, Y Yusmansyah, RR Zulkifli",2014,1 cited,Quality Education (Pendidikan Berkualitas)
Penggunaan Teknik Modeling Dalam Konseling Kelompok Untuk Meningkatkan Kebiasaan Belajar Pada Siswa,https://scholar.google.com/scholar?q=+intitle:'Penggunaan Teknik Modeling Dalam Konseling Kelompok Untuk Meningkatkan Kebiasaan Belajar Pada Siswa',"Authors : ND Sylviana, M Rosra, RR Zulkifli",2014,3 cited,Quality Education (Pendidikan Berkualitas)
PENGGUNAAN TEKHNIK ASSERTIVE TRAINING DALAM MENINGKATKAN RASA PERCAYA DIRI PADA SISWA KELAS VII,https://scholar.google.com/scholar?q=+intitle:'PENGGUNAAN TEKHNIK ASSERTIVE TRAINING DALAM MENINGKATKAN RASA PERCAYA DIRI PADA SISWA KELAS VII',"Authors : T Turina, G Giyono, R Rahmayanthi",2014,0 cited,Quality Education (Pendidikan Berkualitas)
Penggunaan Teknik Desensitisasi Sistematis Untuk Mengurangi Kecemasan Calon Mahasiswa Dalam Menghadapi SBMPTN,https://scholar.google.com/scholar?q=+intitle:'Penggunaan Teknik Desensitisasi Sistematis Untuk Mengurangi Kecemasan Calon Mahasiswa Dalam Menghadapi SBMPTN',"Authors : DD Mustika, Y Yusmansyah, R Rahmayanthi",2014,3 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Peningkatan Kemampuan Penyesuaian Diri Positif Di Sekolah Melalui Bimbingan Kelompok Dengan Teknik Sosiodrama,https://scholar.google.com/scholar?q=+intitle:'Peningkatan Kemampuan Penyesuaian Diri Positif Di Sekolah Melalui Bimbingan Kelompok Dengan Teknik Sosiodrama',"Authors : T Yolanda, S Dahlan, R Rahmayanthi",2014,1 cited,Quality Education (Pendidikan Berkualitas)
Penggunaan Layanan Bimbingan Kelompok Untuk Meningkatkan Sikap Kepatuhan Siswa Terhadap Tata Tertib Sekolah,https://scholar.google.com/scholar?q=+intitle:'Penggunaan Layanan Bimbingan Kelompok Untuk Meningkatkan Sikap Kepatuhan Siswa Terhadap Tata Tertib Sekolah',"Authors : A Purwanto, R Rahmayanthi",2014,1 cited,Quality Education (Pendidikan Berkualitas)
Pengaruh Informasi Pengukuran Kinerja dan Rotasi Jabatan Terhadap Kinerja Pejabat di Pemerintah Daerah: Ambiguitas Peran dan Konflik Peran Sebagai Variabel Pemediasi,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Informasi Pengukuran Kinerja dan Rotasi Jabatan Terhadap Kinerja Pejabat di Pemerintah Daerah: Ambiguitas Peran dan Konflik Peran Sebagai Variabel Pemediasi',"Authors : FG Dewi, A SE M Si",2014,0 cited,"Peace, Justice, and Strong, Instituations (Perdamaian, Keadilan, dan Kelembagaan Tangguh)"
"PERFORMANCE MEASUREMENT INFORMATION, JOB ROTATION, ROLE STRESS AND PERFORMANCE: INVESTIGATING IN LOCAL GOVERNMENT","https://scholar.google.com/scholar?q=+intitle:'PERFORMANCE MEASUREMENT INFORMATION, JOB ROTATION, ROLE STRESS AND PERFORMANCE: INVESTIGATING IN LOCAL GOVERNMENT'","Authors : F Gustiawaty Dewi, A Halim, S Sugiri, E Nahartyo",2014,0 cited,"Peace, Justice, and Strong, Instituations (Perdamaian, Keadilan, dan Kelembagaan Tangguh)"
Persepsi petani terhadap kinerja penyuluh di BP3K sebagai model CoE (Center of Excellence) Kecamatan Metro Barat Kota Metro,https://scholar.google.com/scholar?q=+intitle:'Persepsi petani terhadap kinerja penyuluh di BP3K sebagai model CoE (Center of Excellence) Kecamatan Metro Barat Kota Metro',"Authors : A Ardiansyah, S Gitosaputro, H Yanfika",2014,33 cited,Zero Hunger (Tanpa Kelaparan)
Persepsi petani terhadap program SL-PHT dalam meningkatkan produktivitas dan pendapatan usahatani kakao (Studi kasus petani kakao di Desa Sukoharjo 1 Kecamatan Sukoharjo …,https://scholar.google.com/scholar?q=+intitle:'Persepsi petani terhadap program SL-PHT dalam meningkatkan produktivitas dan pendapatan usahatani kakao (Studi kasus petani kakao di Desa Sukoharjo 1 Kecamatan Sukoharjo …',"Authors : R Robiyan, T Hasanuddin, H Yanfika",2014,23 cited,Zero Hunger (Tanpa Kelaparan)
"Pendapatan petani jagung anggota dan non anggota Koperasi Tani Makmur Desa Natar Kabupaten Lampung Selatan. JIIA, 2 (3): 206-213","https://scholar.google.com/scholar?q=+intitle:'Pendapatan petani jagung anggota dan non anggota Koperasi Tani Makmur Desa Natar Kabupaten Lampung Selatan. JIIA, 2 (3): 206-213'","Authors : AS Dinata, DAH Lestari, H Yanfika",2014,5 cited,Zero Hunger (Tanpa Kelaparan)
Detecting moving objects from a video taken by a moving camera using sequential inference of background images,https://scholar.google.com/scholar?q=+intitle:'Detecting moving objects from a video taken by a moving camera using sequential inference of background images',"Authors : FXA Setyawan, JK Tan, H Kim, S Ishikawa",2014,14 cited,"Industry, Inovation, and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Detection of moving objects in a video captured by a moving camera using error reduction,https://scholar.google.com/scholar?q=+intitle:'Detection of moving objects in a video captured by a moving camera using error reduction',"Authors : FA Setyawan, JK Tan, H Kim, S Ishikawa",2014,10 cited,"Industry, Inovation, and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Implementasi Desentralisasi dan Otonomi Daerah pada Daerah Otonomi Baru (DOB),https://scholar.google.com/scholar?q=+intitle:'Implementasi Desentralisasi dan Otonomi Daerah pada Daerah Otonomi Baru (DOB)',Authors : R Sulistiowati,2014,21 cited,"Peace, Justice, and Strong, Instituations (Perdamaian, Keadilan, dan Kelembagaan Tangguh)"
Implementasi desentralisasi dan otonomi daerah pada Daerah Otonomi Baru (DOB)(Studi di Kabupaten Pesawaran dan Kabupaten Pringsewu Provinsi Lampung),https://scholar.google.com/scholar?q=+intitle:'Implementasi desentralisasi dan otonomi daerah pada Daerah Otonomi Baru (DOB)(Studi di Kabupaten Pesawaran dan Kabupaten Pringsewu Provinsi Lampung)',Authors : R Sulistiowati,2014,18 cited,"Peace, Justice, and Strong, Instituations (Perdamaian, Keadilan, dan Kelembagaan Tangguh)"
"Eocene-Pliocene Sequence Stratigraphy of Bomberai Area, West Papua","https://scholar.google.com/scholar?q=+intitle:'Eocene-Pliocene Sequence Stratigraphy of Bomberai Area, West Papua'",Authors : S Alam,2014,0 cited,Affordable and Clean Energy (Energi Bersih dan Terjangkau)
Quality Control of Microbiology Laboratory,https://scholar.google.com/scholar?q=+intitle:'Quality Control of Microbiology Laboratory',Authors : TU Soleha,2014,5 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Pola Kepekaan Staphylococcus Aureus Terhadap Antibiotik Penisilin Periode Tahun 2008-2012 Di Bandar Lampung,https://scholar.google.com/scholar?q=+intitle:'Pola Kepekaan Staphylococcus Aureus Terhadap Antibiotik Penisilin Periode Tahun 2008-2012 Di Bandar Lampung',Authors : EZ Muttaqien,2014,3 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
The Weakness and DifficultnessonProb/em Base LearningEducational System in Faculty of Medicine in Indonesia,https://scholar.google.com/scholar?q=+intitle:'The Weakness and DifficultnessonProb/em Base LearningEducational System in Faculty of Medicine in Indonesia',Authors : TU Soleha,2014,1 cited,Quality Education (Pendidikan Berkualitas)
Uji Most Probable Number (MPN) Bakteri Koliform pada Sumber Air Minum Rumah Tangga di Kecamatan Sukabumi Bandar Lampung,https://scholar.google.com/scholar?q=+intitle:'Uji Most Probable Number (MPN) Bakteri Koliform pada Sumber Air Minum Rumah Tangga di Kecamatan Sukabumi Bandar Lampung',"Authors : RE Sarah, TU Soleha, E Apriliana, E Warganegara",2014,3 cited,Clean Water and Sanatation (Air Bersih dan Sanitasi Layak)
POLA KEPEKAAN Escherichia coli DAN Klebsiella sp. TERHADAP ANTIBIOTIK SEFALOSPORIN PERIODE TAHUN 2008-2012 DI BANDAR LAMPUNG,https://scholar.google.com/scholar?q=+intitle:'POLA KEPEKAAN Escherichia coli DAN Klebsiella sp. TERHADAP ANTIBIOTIK SEFALOSPORIN PERIODE TAHUN 2008-2012 DI BANDAR LAMPUNG',Authors : TU Soleha,2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
"Hubungan Shift Kerja Malam dengan Kejadian Depresi, Kecemasan dan Stres pada Pekerja di Bagian Maintenance Mesin Penggiling Tebu (Cane Roll Mill) PTPN VII Bunga Mayang","https://scholar.google.com/scholar?q=+intitle:'Hubungan Shift Kerja Malam dengan Kejadian Depresi, Kecemasan dan Stres pada Pekerja di Bagian Maintenance Mesin Penggiling Tebu (Cane Roll Mill) PTPN VII Bunga Mayang'","Authors : F Yani, TU Soleha, TA Larasati, J Maria",2014,2 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Kesesuaian Penatalaksanaan Penyakit Diare pada Balita dengan Pedoman Penatalaksanaan Diare pada Balita Menurut Kemenkes RI di Puskesmas Kota Karang Kota Bandar Lampung Tahun 2013,https://scholar.google.com/scholar?q=+intitle:'Kesesuaian Penatalaksanaan Penyakit Diare pada Balita dengan Pedoman Penatalaksanaan Diare pada Balita Menurut Kemenkes RI di Puskesmas Kota Karang Kota Bandar Lampung Tahun 2013',"Authors : A Tarigan, TU Soleha",2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Pengaruh Pemberian EkstrakEtanol Kulit Manggis (Garcinia mangostana Linn.) Terhadap Aktivitas Enzim ALT Tikus Putih Jantan (Rattus norvegicus) GalurSprague dawleyyang …,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Pemberian EkstrakEtanol Kulit Manggis (Garcinia mangostana Linn.) Terhadap Aktivitas Enzim ALT Tikus Putih Jantan (Rattus norvegicus) GalurSprague dawleyyang …',"Authors : I Saraswati, W Basuki, TU Soleha",2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
IDENTIFIKASI Methicillin-Resistant Staphylococcus aureus (MRSA) PADA TENAGA MEDIS DAN PARAMEDIS DI RUANG PERINATOLOGI DAN RUANG OBSTETRIK GINEKOLOGIK RUMAH SAKIT UMUM DAERAH …,https://scholar.google.com/scholar?q=+intitle:'IDENTIFIKASI Methicillin-Resistant Staphylococcus aureus (MRSA) PADA TENAGA MEDIS DAN PARAMEDIS DI RUANG PERINATOLOGI DAN RUANG OBSTETRIK GINEKOLOGIK RUMAH SAKIT UMUM DAERAH …',"Authors : BSB Setiawan, TU Soleha, P Rukmono",2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Pengaruh Pemberian Ekstrak Etanol Biji Jengkol (Pithecellobium Lobatum Benth.) terhadap Kadar LDL Darah Tikus Putih (Rattus norvegicus) Jantan Galur Sprague dawley yang …,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Pemberian Ekstrak Etanol Biji Jengkol (Pithecellobium Lobatum Benth.) terhadap Kadar LDL Darah Tikus Putih (Rattus norvegicus) Jantan Galur Sprague dawley yang …',"Authors : E Yana, E Kurniawaty, TU Soleha",2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
"Correlation Between Night Shift With Depression, Anxiety And Stress On Workers In Cane Roll Mill Maintenance Subdivision At Ptpn VII Bunga Mayang Hubungan Shift Kerja Malam …","https://scholar.google.com/scholar?q=+intitle:'Correlation Between Night Shift With Depression, Anxiety And Stress On Workers In Cane Roll Mill Maintenance Subdivision At Ptpn VII Bunga Mayang Hubungan Shift Kerja Malam …'","Authors : F Yani, TU Soleha, T Larasati, J Maria",2014,1 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
HUBUNGAN SHIFT KERJA MALAM DENGAN KEJADIAN DEPRESI KECEMASAN DAN STRES PADA PEKERJA DI BAGIAN MAINTENANCEMESIN PENGGILING TEBU (CANE ROLL MILL) PTPN VIIBUNGA MAYANG,https://scholar.google.com/scholar?q=+intitle:'HUBUNGAN SHIFT KERJA MALAM DENGAN KEJADIAN DEPRESI KECEMASAN DAN STRES PADA PEKERJA DI BAGIAN MAINTENANCEMESIN PENGGILING TEBU (CANE ROLL MILL) PTPN VIIBUNGA MAYANG',Authors : F YANI,2014,2 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Penggunaan Legume Cover Crop (LCC) di Perkebunan Kelapa Sawit,https://scholar.google.com/scholar?q=+intitle:'Penggunaan Legume Cover Crop (LCC) di Perkebunan Kelapa Sawit',Authors : A Ma’ruf,2014,0 cited,Zero Hunger (Tanpa Kelaparan)
STRUKTUR IDIOMATIK VERBA BERPREPOSISI DALAM NOVEL YAUMA QUTILA AZ-ZAIM KARYA NAJIB MAHFUZ: ANALISIS SEMANTIK,https://scholar.google.com/scholar?q=+intitle:'STRUKTUR IDIOMATIK VERBA BERPREPOSISI DALAM NOVEL YAUMA QUTILA AZ-ZAIM KARYA NAJIB MAHFUZ: ANALISIS SEMANTIK',Authors : SR SIREGAR,2014,0 cited,Quality Education (Pendidikan Berkualitas)
